,id,rooms
82,1123,"(2, 4)"
83,1123,"(3, 9)"
84,1123,"(4, 6)"
85,1123,"(5, 2)"
86,1123,"(6, 2)"
87,1123,"(7, 1)"
88,1124,"(1, 1)"
89,1124,"(2, 2)"
90,1124,"(3, 2)"
91,1124,"(4, 3)"
92,1124,"(6, 2)"
93,1124,"(7, 1)"
94,1127,"(2, 1)"
95,1127,"(3, 4)"
96,1127,"(5, 2)"
97,1128,"(3, 1)"
98,1129,"(1, 2)"
99,1129,"(2, 4)"
100,1129,"(3, 3)"
101,1129,"(4, 1)"
102,1130,"(3, 2)"
103,1130,"(4, 2)"
104,1130,"(6, 1)"
105,1131,"(4, 2)"
106,1150,"(2, 3)"
107,1150,"(3, 4)"
108,1150,"(4, 2)"
109,1150,"(6, 1)"
110,1150,"(9, 1)"
111,1151,"(2, 2)"
112,1151,"(3, 2)"
113,1151,"(4, 1)"
114,1151,"(6, 1)"
115,1151,"(13, 1)"
116,1152,"(3, 2)"
117,1152,"(5, 1)"
118,1153,"(2, 1)"
119,1153,"(3, 1)"
120,1153,"(4, 2)"
121,1153,"(5, 1)"
122,1154,"(1, 2)"
123,1154,"(2, 3)"
124,1154,"(3, 2)"
125,1154,"(4, 1)"
126,1154,"(6, 3)"
127,1156,"(3, 1)"
128,1157,"(2, 2)"
129,1157,"(3, 4)"
130,1157,"(4, 1)"
131,1159,"(1, 2)"
132,1159,"(2, 2)"
133,1159,"(3, 1)"
134,1159,"(4, 4)"
135,1159,"(5, 1)"
136,1159,"(6, 2)"
137,1159,"(8, 1)"
138,1160,"(2, 1)"
139,1161,"(2, 1)"
140,1161,"(3, 2)"
141,1165,"(2, 2)"
142,1165,"(3, 3)"
143,1165,"(4, 1)"
144,1165,"(5, 1)"
145,1166,"(6, 1)"
146,1169,"(3, 1)"
147,1169,"(5, 2)"
148,1169,"(8, 1)"
149,1171,"(2, 1)"
150,1171,"(3, 5)"
151,1171,"(4, 1)"
152,1171,"(5, 5)"
153,1171,"(6, 1)"
154,1172,"(5, 1)"
155,1173,"(1, 1)"
156,1173,"(2, 1)"
157,1173,"(3, 1)"
158,1174,"(3, 2)"
159,1174,"(4, 1)"
160,1175,"(2, 1)"
161,1175,"(3, 2)"
162,1200,"(1, 1)"
163,1200,"(2, 1)"
164,1200,"(3, 1)"
165,1200,"(4, 1)"
166,1200,"(5, 1)"
167,1200,"(6, 1)"
168,1201,"(4, 2)"
169,1201,"(5, 2)"
170,1202,"(6, 1)"
171,1203,"(4, 1)"
172,1203,"(5, 1)"
173,1203,"(6, 1)"
174,1203,"(9, 1)"
175,1204,"(1, 1)"
176,1204,"(2, 2)"
177,1204,"(3, 2)"
178,1204,"(4, 1)"
179,1204,"(5, 1)"
180,1205,"(1, 1)"
181,1205,"(2, 1)"
182,1205,"(3, 2)"
183,1205,"(5, 1)"
184,1206,"(3, 3)"
185,1207,"(1, 1)"
186,1207,"(2, 1)"
187,1207,"(3, 3)"
188,1207,"(4, 1)"
189,1208,"(2, 2)"
190,1208,"(3, 6)"
191,1208,"(4, 2)"
192,1208,"(5, 3)"
193,1209,"(1, 1)"
194,1209,"(2, 4)"
195,1209,"(3, 2)"
196,1209,"(4, 2)"
197,1209,"(5, 2)"
198,1210,"(1, 1)"
199,1210,"(2, 1)"
200,1210,"(3, 2)"
201,1210,"(4, 1)"
202,1211,"(3, 1)"
203,1211,"(4, 1)"
204,1211,"(5, 2)"
205,1211,"(6, 1)"
206,1250,"(2, 2)"
207,1250,"(4, 1)"
208,1250,"(8, 1)"
209,1250,"(10, 1)"
210,1250,"(19, 1)"
211,1251,"(1, 1)"
212,1251,"(2, 2)"
213,1251,"(3, 1)"
214,1253,"(2, 7)"
215,1253,"(3, 2)"
216,1253,"(4, 3)"
217,1253,"(5, 4)"
218,1253,"(8, 3)"
219,1253,"(9, 2)"
220,1253,"(10, 2)"
221,1253,"(11, 1)"
222,1254,"(1, 1)"
223,1254,"(2, 4)"
224,1254,"(3, 3)"
225,1254,"(5, 2)"
226,1254,"(8, 1)"
227,1255,"(2, 4)"
228,1255,"(3, 1)"
229,1255,"(4, 1)"
230,1255,"(5, 1)"
231,1255,"(7, 1)"
232,1256,"(1, 1)"
233,1256,"(2, 2)"
234,1256,"(3, 6)"
235,1256,"(4, 4)"
236,1256,"(5, 1)"
237,1260,"(2, 1)"
238,1260,"(3, 1)"
239,1260,"(5, 3)"
240,1260,"(6, 1)"
241,1260,"(8, 1)"
242,1260,"(10, 1)"
243,1263,"(3, 1)"
244,1263,"(4, 2)"
245,1263,"(6, 1)"
246,1263,"(7, 1)"
247,1264,"(1, 2)"
248,1264,"(2, 11)"
249,1264,"(3, 12)"
250,1264,"(4, 7)"
251,1264,"(5, 6)"
252,1264,"(6, 3)"
253,1264,"(7, 1)"
254,1264,"(8, 2)"
255,1265,"(3, 2)"
256,1265,"(4, 1)"
257,1265,"(5, 3)"
258,1265,"(7, 1)"
259,1266,"(6, 1)"
260,1267,"(2, 1)"
261,1267,"(3, 2)"
262,1268,"(3, 1)"
263,1270,"(2, 1)"
264,1270,"(4, 1)"
265,1300,"(2, 1)"
266,1300,"(3, 2)"
267,1300,"(4, 2)"
268,1300,"(6, 1)"
269,1300,"(7, 1)"
270,1302,"(1, 4)"
271,1302,"(2, 9)"
272,1302,"(3, 8)"
273,1302,"(4, 2)"
274,1302,"(5, 2)"
275,1302,"(6, 2)"
276,1302,"(8, 1)"
277,1302,"(10, 1)"
278,1303,"(3, 1)"
279,1303,"(4, 1)"
280,1304,"(2, 2)"
281,1304,"(3, 2)"
282,1304,"(5, 1)"
283,1306,"(1, 1)"
284,1306,"(2, 1)"
285,1306,"(3, 7)"
286,1306,"(4, 3)"
287,1306,"(5, 3)"
288,1306,"(6, 1)"
289,1306,"(7, 2)"
290,1306,"(8, 1)"
291,1306,"(9, 1)"
292,1307,"(2, 3)"
293,1307,"(3, 10)"
294,1307,"(4, 5)"
295,1307,"(5, 1)"
296,1307,"(6, 1)"
297,1307,"(7, 2)"
298,1308,"(1, 1)"
299,1308,"(2, 2)"
300,1308,"(3, 1)"
301,1310,"(1, 1)"
302,1310,"(2, 5)"
303,1310,"(3, 5)"
304,1310,"(4, 2)"
305,1310,"(5, 2)"
306,1310,"(8, 1)"
307,1311,"(2, 2)"
308,1311,"(3, 1)"
309,1311,"(5, 2)"
310,1311,"(6, 1)"
311,1311,"(8, 2)"
312,1311,"(9, 1)"
313,1311,"(10, 1)"
314,1313,"(1, 1)"
315,1313,"(2, 3)"
316,1313,"(3, 3)"
317,1313,"(4, 1)"
318,1313,"(5, 2)"
319,1313,"(6, 1)"
320,1313,"(7, 2)"
321,1313,"(10, 2)"
322,1314,"(7, 1)"
323,1314,"(8, 1)"
324,1314,"(9, 1)"
325,1316,"(1, 1)"
326,1316,"(3, 1)"
327,1317,"(3, 2)"
328,1318,"(3, 1)"
329,1318,"(4, 2)"
330,1318,"(5, 2)"
331,1318,"(6, 3)"
332,1318,"(7, 1)"
333,1319,"(1, 2)"
334,1319,"(2, 2)"
335,1319,"(3, 1)"
336,1319,"(5, 5)"
337,1319,"(6, 2)"
338,1319,"(7, 2)"
339,1319,"(8, 2)"
340,1319,"(9, 3)"
341,1320,"(7, 1)"
342,1320,"(8, 1)"
343,1320,"(9, 1)"
344,1320,"(10, 1)"
345,1320,"(14, 1)"
346,1350,"(3, 1)"
347,1352,"(1, 2)"
348,1352,"(3, 2)"
349,1352,"(4, 3)"
350,1352,"(5, 2)"
351,1352,"(6, 1)"
352,1354,"(3, 2)"
353,1354,"(4, 2)"
354,1354,"(5, 2)"
355,1355,"(3, 3)"
356,1356,"(2, 1)"
357,1357,"(2, 1)"
358,1357,"(4, 1)"
359,1357,"(5, 1)"
360,1357,"(6, 1)"
361,1357,"(10, 1)"
362,1358,"(1, 1)"
363,1358,"(2, 5)"
364,1358,"(3, 1)"
365,1358,"(4, 3)"
366,1358,"(5, 1)"
367,1358,"(6, 1)"
368,1359,"(2, 2)"
369,1359,"(3, 1)"
370,1360,"(3, 2)"
371,1360,"(4, 2)"
372,1360,"(7, 2)"
373,1361,"(2, 1)"
374,1361,"(5, 2)"
375,1362,"(8, 1)"
376,1362,"(9, 1)"
377,1363,"(1, 1)"
378,1363,"(2, 2)"
379,1363,"(3, 1)"
380,1363,"(4, 3)"
381,1363,"(6, 1)"
382,1364,"(3, 2)"
383,1364,"(4, 1)"
384,1364,"(6, 1)"
385,1366,"(2, 2)"
386,1366,"(3, 2)"
387,1366,"(4, 2)"
388,1366,"(5, 1)"
389,1367,"(3, 1)"
390,1368,"(2, 2)"
391,1370,"(1, 1)"
392,1370,"(2, 2)"
393,1370,"(3, 4)"
394,1400,"(2, 3)"
395,1400,"(3, 3)"
396,1400,"(4, 2)"
397,1400,"(7, 2)"
398,1401,"(2, 8)"
399,1401,"(3, 12)"
400,1401,"(4, 10)"
401,1401,"(5, 4)"
402,1401,"(6, 2)"
403,1401,"(7, 2)"
404,1402,"(2, 5)"
405,1402,"(3, 6)"
406,1402,"(4, 4)"
407,1402,"(5, 2)"
408,1406,"(5, 1)"
409,1407,"(2, 2)"
410,1408,"(2, 10)"
411,1408,"(3, 15)"
412,1408,"(4, 10)"
413,1408,"(5, 1)"
414,1408,"(6, 2)"
415,1408,"(7, 2)"
416,1414,"(3, 5)"
417,1414,"(4, 4)"
418,1414,"(5, 4)"
419,1414,"(6, 1)"
420,1414,"(7, 1)"
421,1415,"(1, 2)"
422,1415,"(2, 4)"
423,1415,"(3, 3)"
424,1415,"(4, 5)"
425,1416,"(1, 1)"
426,1416,"(2, 4)"
427,1416,"(3, 4)"
428,1416,"(4, 2)"
429,1416,"(6, 2)"
430,1418,"(1, 1)"
431,1418,"(2, 2)"
432,1418,"(3, 2)"
433,1418,"(4, 1)"
434,1419,"(7, 1)"
435,1420,"(1, 3)"
436,1420,"(2, 3)"
437,1420,"(3, 4)"
438,1420,"(4, 2)"
439,1420,"(5, 2)"
440,1422,"(1, 1)"
441,1422,"(2, 6)"
442,1422,"(3, 2)"
443,1422,"(4, 1)"
444,1422,"(5, 1)"
445,1423,"(2, 1)"
446,1423,"(10, 1)"
447,1424,"(2, 4)"
448,1424,"(3, 6)"
449,1424,"(5, 1)"
450,1424,"(6, 1)"
451,1425,"(2, 2)"
452,1425,"(3, 7)"
453,1425,"(4, 4)"
454,1427,"(2, 3)"
455,1427,"(3, 5)"
456,1427,"(4, 1)"
457,1428,"(2, 10)"
458,1428,"(3, 3)"
459,1429,"(1, 1)"
460,1429,"(2, 14)"
461,1430,"(3, 2)"
462,1432,"(3, 3)"
463,1432,"(4, 48)"
464,1432,"(5, 85)"
465,1432,"(6, 3)"
466,1436,"(2, 1)"
467,1437,"(2, 3)"
468,1437,"(3, 17)"
469,1437,"(4, 21)"
470,1437,"(5, 1)"
471,1437,"(6, 3)"
472,1437,"(7, 2)"
473,1437,"(8, 14)"
474,1439,"(3, 1)"
475,1439,"(5, 7)"
476,1452,"(1, 1)"
477,1452,"(2, 4)"
478,1452,"(3, 4)"
479,1452,"(4, 2)"
480,1452,"(5, 1)"
481,1452,"(7, 1)"
482,1453,"(2, 2)"
483,1453,"(3, 4)"
484,1453,"(4, 4)"
485,1454,"(1, 1)"
486,1454,"(2, 3)"
487,1454,"(3, 5)"
488,1455,"(1, 2)"
489,1455,"(2, 1)"
490,1455,"(3, 3)"
491,1455,"(4, 4)"
492,1455,"(5, 2)"
493,1456,"(2, 1)"
494,1456,"(3, 2)"
495,1456,"(4, 1)"
496,1458,"(2, 1)"
497,1458,"(3, 5)"
498,1458,"(4, 1)"
499,1458,"(6, 1)"
500,1459,"(3, 2)"
501,1459,"(4, 1)"
502,1460,"(3, 1)"
503,1460,"(4, 1)"
504,1460,"(5, 1)"
505,1462,"(1, 2)"
506,1462,"(2, 5)"
507,1462,"(3, 1)"
508,1462,"(5, 1)"
509,1464,"(4, 1)"
510,1466,"(2, 1)"
511,1466,"(3, 4)"
512,1466,"(4, 1)"
513,1466,"(5, 1)"
514,1466,"(7, 1)"
515,1467,"(3, 1)"
516,1467,"(5, 1)"
517,1468,"(2, 5)"
518,1468,"(3, 4)"
519,1468,"(4, 1)"
520,1470,"(3, 1)"
521,1470,"(4, 1)"
522,1470,"(5, 1)"
523,1470,"(7, 1)"
524,1471,"(5, 1)"
525,1471,"(9, 1)"
526,1472,"(1, 1)"
527,1472,"(2, 3)"
528,1472,"(3, 1)"
529,1472,"(4, 1)"
530,1472,"(6, 1)"
531,1472,"(9, 1)"
532,1472,"(15, 1)"
533,1552,"(3, 3)"
534,1560,"(1, 1)"
535,1561,"(1, 1)"
536,1561,"(2, 7)"
537,1561,"(3, 12)"
538,1561,"(4, 5)"
539,1562,"(3, 1)"
540,1562,"(5, 1)"
541,1563,"(4, 1)"
542,1563,"(5, 1)"
543,1564,"(4, 2)"
544,1564,"(5, 3)"
545,1568,"(4, 2)"
546,1569,"(3, 2)"
547,1573,"(2, 2)"
548,1573,"(3, 2)"
549,1573,"(4, 2)"
550,1573,"(5, 2)"
551,1573,"(6, 1)"
552,1576,"(3, 1)"
553,1576,"(4, 1)"
554,1577,"(3, 2)"
555,1600,"(2, 1)"
556,1601,"(1, 3)"
557,1601,"(2, 8)"
558,1601,"(3, 4)"
559,1601,"(4, 6)"
560,1601,"(5, 1)"
561,1601,"(6, 1)"
562,1601,"(7, 1)"
563,1606,"(3, 3)"
564,1608,"(5, 1)"
565,1610,"(3, 1)"
566,1610,"(4, 1)"
567,1610,"(6, 2)"
568,1610,"(7, 1)"
569,1614,"(2, 1)"
570,1614,"(3, 1)"
571,1615,"(2, 2)"
572,1615,"(3, 1)"
573,1616,"(6, 1)"
574,1617,"(4, 3)"
575,1617,"(5, 2)"
576,1618,"(4, 1)"
577,1619,"(2, 1)"
578,1619,"(4, 1)"
579,1619,"(6, 1)"
580,1619,"(7, 1)"
581,1620,"(1, 2)"
582,1620,"(2, 3)"
583,1620,"(3, 9)"
584,1620,"(4, 6)"
585,1620,"(5, 2)"
586,1620,"(6, 5)"
587,1620,"(7, 1)"
588,1620,"(8, 1)"
589,1620,"(9, 1)"
590,1623,"(3, 1)"
591,1624,"(3, 2)"
592,1624,"(4, 1)"
593,1631,"(3, 1)"
594,1631,"(4, 1)"
595,1631,"(5, 1)"
596,1632,"(3, 1)"
597,1632,"(4, 1)"
598,1632,"(5, 2)"
599,1633,"(5, 1)"
600,1635,"(4, 4)"
601,1650,"(1, 1)"
602,1650,"(2, 2)"
603,1650,"(3, 1)"
604,1650,"(4, 3)"
605,1650,"(5, 2)"
606,1650,"(8, 1)"
607,1651,"(3, 2)"
608,1651,"(4, 2)"
609,1651,"(5, 2)"
610,1651,"(6, 1)"
611,1652,"(3, 1)"
612,1653,"(1, 1)"
613,1653,"(3, 2)"
614,1653,"(4, 1)"
615,1654,"(2, 1)"
616,1655,"(2, 1)"
617,1655,"(3, 4)"
618,1656,"(2, 4)"
619,1656,"(4, 1)"
620,1657,"(3, 5)"
621,1657,"(5, 1)"
622,1658,"(3, 1)"
623,1658,"(4, 2)"
624,1658,"(6, 1)"
625,1660,"(2, 2)"
626,1660,"(3, 1)"
627,1661,"(2, 1)"
628,1661,"(3, 2)"
629,1663,"(3, 5)"
630,1663,"(4, 2)"
631,1664,"(3, 1)"
632,1665,"(2, 5)"
633,1665,"(3, 2)"
634,1665,"(4, 4)"
635,1665,"(7, 1)"
636,1665,"(8, 1)"
637,1666,"(1, 1)"
638,1666,"(2, 8)"
639,1666,"(4, 1)"
640,1667,"(3, 1)"
641,1668,"(2, 3)"
642,1668,"(3, 1)"
643,1669,"(2, 7)"
644,1669,"(3, 4)"
645,1670,"(2, 1)"
646,1670,"(3, 4)"
647,1670,"(4, 3)"
648,1671,"(1, 1)"
649,1671,"(2, 1)"
650,1671,"(3, 2)"
651,1672,"(2, 2)"
652,1674,"(1, 1)"
653,1674,"(2, 7)"
654,1674,"(3, 5)"
655,1674,"(4, 1)"
656,1676,"(3, 5)"
657,1676,"(4, 2)"
658,1677,"(1, 1)"
659,1677,"(2, 1)"
660,1700,"(1, 1)"
661,1700,"(2, 2)"
662,1700,"(3, 3)"
663,1700,"(4, 2)"
664,1700,"(5, 1)"
665,1700,"(6, 1)"
666,1702,"(3, 1)"
667,1702,"(4, 1)"
668,1702,"(5, 1)"
669,1704,"(3, 1)"
670,1705,"(3, 1)"
671,1705,"(4, 5)"
672,1707,"(3, 2)"
673,1708,"(1, 1)"
674,1708,"(2, 1)"
675,1718,"(2, 5)"
676,1718,"(3, 3)"
677,1719,"(2, 3)"
678,1719,"(3, 2)"
679,1720,"(2, 7)"
680,1720,"(3, 4)"
681,1720,"(4, 4)"
682,1720,"(5, 1)"
683,1721,"(2, 7)"
684,1721,"(3, 3)"
685,1722,"(2, 4)"
686,1722,"(3, 4)"
687,1725,"(2, 2)"
688,1725,"(3, 4)"
689,1725,"(4, 4)"
690,1726,"(2, 4)"
691,1726,"(4, 4)"
692,1727,"(2, 4)"
693,1750,"(5, 3)"
694,1750,"(6, 8)"
695,1750,"(7, 2)"
696,1750,"(8, 1)"
697,1752,"(2, 2)"
698,1752,"(3, 2)"
699,1754,"(2, 1)"
700,1754,"(3, 1)"
701,1755,"(3, 1)"
702,1755,"(4, 1)"
703,1756,"(2, 1)"
704,1756,"(3, 1)"
705,1756,"(4, 2)"
706,1760,"(3, 2)"
707,1770,"(4, 2)"
708,1770,"(5, 5)"
709,1770,"(6, 21)"
710,1770,"(7, 2)"
711,1770,"(8, 1)"
712,1770,"(9, 3)"
713,1771,"(5, 2)"
714,1771,"(6, 8)"
715,1772,"(5, 3)"
716,1772,"(6, 5)"
717,1772,"(7, 3)"
718,1773,"(4, 1)"
719,1773,"(5, 3)"
720,1773,"(6, 7)"
721,1773,"(7, 1)"
722,1774,"(3, 1)"
723,1774,"(4, 1)"
724,1774,"(5, 2)"
725,1774,"(6, 15)"
726,1774,"(7, 2)"
727,1774,"(8, 2)"
728,1774,"(9, 3)"
729,1775,"(4, 1)"
730,1775,"(5, 2)"
731,1775,"(6, 8)"
732,1777,"(4, 1)"
733,1777,"(5, 5)"
734,1777,"(6, 21)"
735,1777,"(7, 3)"
736,1799,"(2, 2)"
737,1800,"(2, 1)"
738,1800,"(3, 4)"
739,1800,"(4, 2)"
740,1800,"(5, 6)"
741,1800,"(6, 2)"
742,1801,"(2, 3)"
743,1801,"(3, 4)"
744,1801,"(4, 3)"
745,1801,"(5, 2)"
746,1801,"(6, 2)"
747,1802,"(4, 2)"
748,1803,"(3, 1)"
749,1803,"(4, 1)"
750,1803,"(5, 2)"
751,1804,"(2, 1)"
752,1804,"(3, 1)"
753,1804,"(4, 3)"
754,1804,"(5, 1)"
755,1806,"(3, 1)"
756,1806,"(4, 2)"
757,1806,"(5, 2)"
758,1806,"(10, 1)"
759,1806,"(16, 1)"
760,1807,"(1, 1)"
761,1807,"(4, 4)"
762,1807,"(5, 1)"
763,1809,"(3, 2)"
764,1809,"(4, 3)"
765,1809,"(5, 5)"
766,1809,"(6, 6)"
767,1809,"(7, 2)"
768,1809,"(8, 1)"
769,1809,"(10, 1)"
770,1809,"(24, 1)"
771,1810,"(1, 1)"
772,1810,"(2, 5)"
773,1810,"(3, 5)"
774,1810,"(4, 2)"
775,1810,"(7, 1)"
776,1811,"(2, 1)"
777,1811,"(6, 3)"
778,1811,"(7, 1)"
779,1811,"(8, 2)"
780,1811,"(9, 2)"
781,1812,"(2, 1)"
782,1812,"(3, 4)"
783,1812,"(4, 3)"
784,1812,"(5, 5)"
785,1812,"(6, 1)"
786,1812,"(7, 2)"
787,1812,"(8, 1)"
788,1812,"(9, 1)"
789,1812,"(10, 1)"
790,1812,"(39, 1)"
791,1813,"(1, 1)"
792,1813,"(3, 4)"
793,1813,"(4, 3)"
794,1813,"(5, 1)"
795,1814,"(2, 3)"
796,1814,"(3, 5)"
797,1814,"(4, 4)"
798,1814,"(5, 1)"
799,1814,"(6, 1)"
800,1815,"(3, 1)"
801,1815,"(4, 2)"
802,1816,"(4, 1)"
803,1817,"(1, 1)"
804,1817,"(2, 1)"
805,1817,"(3, 2)"
806,1817,"(4, 3)"
807,1817,"(7, 1)"
808,1818,"(2, 1)"
809,1818,"(4, 1)"
810,1819,"(4, 1)"
811,1820,"(2, 2)"
812,1820,"(3, 3)"
813,1820,"(4, 8)"
814,1820,"(5, 7)"
815,1820,"(6, 2)"
816,1820,"(7, 3)"
817,1820,"(8, 2)"
818,1820,"(9, 1)"
819,1823,"(4, 1)"
820,1824,"(3, 1)"
821,1824,"(4, 10)"
822,1824,"(5, 1)"
823,1825,"(5, 1)"
824,1825,"(7, 4)"
825,1825,"(8, 1)"
826,1825,"(10, 1)"
827,1826,"(2, 1)"
828,1826,"(3, 1)"
829,1826,"(4, 2)"
830,1826,"(5, 1)"
831,1826,"(6, 1)"
832,1826,"(10, 1)"
833,1827,"(4, 2)"
834,1827,"(5, 4)"
835,1828,"(3, 1)"
836,1828,"(4, 1)"
837,1828,"(5, 3)"
838,1828,"(6, 1)"
839,1829,"(2, 1)"
840,1829,"(3, 1)"
841,1829,"(4, 3)"
842,1829,"(5, 2)"
843,1829,"(6, 1)"
844,1850,"(2, 4)"
845,1850,"(3, 7)"
846,1850,"(4, 7)"
847,1850,"(5, 6)"
848,1850,"(6, 6)"
849,1851,"(4, 2)"
850,1851,"(6, 1)"
851,1851,"(9, 2)"
852,1851,"(10, 1)"
853,1852,"(2, 1)"
854,1852,"(3, 1)"
855,1852,"(5, 2)"
856,1852,"(6, 2)"
857,1852,"(8, 1)"
858,1852,"(11, 1)"
859,1855,"(3, 3)"
860,1855,"(4, 5)"
861,1855,"(5, 1)"
862,1855,"(7, 1)"
863,1856,"(3, 1)"
864,1856,"(4, 2)"
865,1857,"(4, 1)"
866,1857,"(6, 3)"
867,1860,"(2, 1)"
868,1860,"(3, 2)"
869,1860,"(4, 6)"
870,1860,"(5, 1)"
871,1860,"(6, 1)"
872,1860,"(7, 2)"
873,1860,"(8, 1)"
874,1862,"(2, 2)"
875,1862,"(3, 1)"
876,1862,"(4, 1)"
877,1862,"(5, 1)"
878,1862,"(6, 1)"
879,1862,"(7, 1)"
880,1863,"(3, 1)"
881,1863,"(5, 1)"
882,1863,"(6, 3)"
883,1863,"(8, 4)"
884,1864,"(2, 1)"
885,1864,"(3, 4)"
886,1864,"(4, 1)"
887,1864,"(5, 2)"
888,1864,"(6, 1)"
889,1864,"(9, 1)"
890,1865,"(1, 1)"
891,1865,"(2, 1)"
892,1866,"(4, 6)"
893,1866,"(5, 1)"
894,1867,"(4, 1)"
895,1867,"(8, 2)"
896,1868,"(1, 1)"
897,1868,"(2, 3)"
898,1868,"(3, 4)"
899,1868,"(4, 1)"
900,1868,"(5, 1)"
901,1870,"(2, 2)"
902,1870,"(3, 2)"
903,1870,"(4, 1)"
904,1870,"(5, 3)"
905,1870,"(6, 1)"
906,1870,"(7, 2)"
907,1870,"(8, 1)"
908,1870,"(9, 1)"
909,1870,"(12, 1)"
910,1871,"(3, 4)"
911,1871,"(4, 1)"
912,1871,"(5, 2)"
913,1871,"(7, 1)"
914,1873,"(4, 2)"
915,1873,"(5, 2)"
916,1873,"(7, 1)"
917,1874,"(2, 4)"
918,1874,"(3, 1)"
919,1874,"(4, 2)"
920,1874,"(5, 1)"
921,1875,"(2, 3)"
922,1875,"(3, 2)"
923,1875,"(4, 1)"
924,1875,"(5, 5)"
925,1875,"(6, 2)"
926,1875,"(7, 2)"
927,1875,"(8, 1)"
928,1875,"(11, 1)"
929,1875,"(12, 3)"
930,1876,"(3, 1)"
931,1876,"(4, 1)"
932,1876,"(6, 1)"
933,1876,"(7, 2)"
934,1876,"(9, 2)"
935,1876,"(10, 2)"
936,1876,"(12, 1)"
937,1877,"(6, 1)"
938,1877,"(7, 3)"
939,1877,"(8, 1)"
940,1877,"(9, 1)"
941,1877,"(10, 2)"
942,1877,"(21, 1)"
943,1878,"(4, 3)"
944,1878,"(6, 1)"
945,1878,"(7, 3)"
946,1878,"(8, 3)"
947,1878,"(14, 1)"
948,1900,"(2, 1)"
949,1900,"(3, 2)"
950,1900,"(4, 1)"
951,1900,"(5, 3)"
952,1900,"(6, 1)"
953,1901,"(4, 1)"
954,1901,"(5, 1)"
955,1902,"(1, 1)"
956,1902,"(2, 4)"
957,1902,"(3, 4)"
958,1902,"(4, 5)"
959,1902,"(5, 1)"
960,1902,"(6, 2)"
961,1902,"(9, 1)"
962,1903,"(2, 7)"
963,1903,"(3, 5)"
964,1903,"(4, 2)"
965,1903,"(5, 4)"
966,1903,"(6, 6)"
967,1903,"(7, 1)"
968,1903,"(9, 2)"
969,1904,"(2, 5)"
970,1904,"(3, 4)"
971,1904,"(4, 2)"
972,1904,"(5, 2)"
973,1904,"(6, 2)"
974,1904,"(9, 1)"
975,1905,"(3, 1)"
976,1905,"(6, 2)"
977,1905,"(7, 1)"
978,1906,"(5, 1)"
979,1908,"(2, 1)"
980,1908,"(4, 1)"
981,1908,"(5, 1)"
982,1908,"(6, 1)"
983,1910,"(2, 2)"
984,1910,"(3, 3)"
985,1910,"(5, 2)"
986,1910,"(7, 1)"
987,1911,"(1, 1)"
988,1911,"(2, 2)"
989,1911,"(3, 4)"
990,1911,"(4, 1)"
991,1912,"(3, 1)"
992,1912,"(4, 4)"
993,1912,"(5, 2)"
994,1912,"(6, 1)"
995,1913,"(4, 5)"
996,1914,"(3, 2)"
997,1915,"(3, 3)"
998,1915,"(4, 1)"
